properties.ObjectId,properties.StopID,properties.PID,properties.basisForSearch
212,5836,3,Officer Safety/safety of others
213,5837,1,NULL
214,5838,1,Condition of parole / probation/ PRCS / mandatory supervision
215,5839,1,NULL
216,5840,1,NULL
217,5841,1,NULL
218,5841,2,NULL
219,5842,1,NULL
220,5843,1,Officer Safety/safety of others
221,5844,1,NULL
222,5845,1,Condition of parole / probation/ PRCS / mandatory supervision
223,5845,1,Consent given
224,5845,2,NULL
225,5846,1,Officer Safety/safety of others
226,5847,1,Officer Safety/safety of others
227,5848,1,NULL
228,5849,1,Officer Safety/safety of others
229,5850,1,NULL
230,5851,1,NULL
231,5852,1,NULL
232,5853,1,NULL
233,5854,1,NULL
234,5855,1,NULL
235,5856,1,NULL
236,5857,1,NULL
237,5858,1,NULL
238,5859,1,NULL
239,5860,1,NULL
240,5861,1,NULL
241,5862,1,NULL
242,5863,1,NULL
243,5864,1,NULL
244,5865,1,NULL
245,5866,1,Incident to arrest
246,5866,1,Officer Safety/safety of others
247,5867,1,NULL
248,5868,1,NULL
249,5869,1,NULL
250,5870,1,NULL
251,6100,1,NULL
252,6101,1,Officer Safety/safety of others
253,6101,1,Suspected weapons
254,6102,1,NULL
255,6103,1,NULL
256,6104,1,NULL
257,6105,1,Officer Safety/safety of others
258,6105,1,Visible contraband
259,6106,1,NULL
260,6107,1,NULL
261,6108,1,NULL
262,6109,1,NULL
263,6110,1,NULL
264,6111,1,NULL
265,6112,1,NULL
266,6113,1,NULL
267,6114,1,NULL
268,6115,1,NULL
269,6116,1,NULL
270,6117,1,Condition of parole / probation/ PRCS / mandatory supervision
271,6117,1,Officer Safety/safety of others
272,6118,1,NULL
273,6119,1,NULL
274,6121,1,NULL
275,6123,1,NULL
276,6124,1,NULL
277,6125,1,NULL
278,6125,2,NULL
279,6126,1,Incident to arrest
280,6127,1,NULL
281,6129,1,NULL
282,6130,1,Condition of parole / probation/ PRCS / mandatory supervision
283,6131,1,NULL
284,6132,1,Officer Safety/safety of others
285,6133,1,NULL
286,6133,2,NULL
287,6133,3,NULL
288,6133,4,NULL
289,6134,1,Evidence of crime
290,6135,1,NULL
291,6136,1,NULL
292,6137,1,NULL
293,6138,1,NULL
294,6139,1,NULL
295,6140,1,NULL
296,6141,1,NULL
297,6142,1,Officer Safety/safety of others
298,6143,1,Officer Safety/safety of others
299,6144,1,NULL
300,6145,1,Consent given
301,6056,1,NULL
302,6056,2,NULL
303,6057,1,Incident to arrest
304,6058,1,NULL
305,6059,1,NULL
306,6060,1,Incident to arrest
307,6060,1,Officer Safety/safety of others
308,6061,1,NULL
309,6061,2,NULL
310,6061,3,NULL
311,6062,1,NULL
312,6063,1,NULL
313,6063,2,NULL
314,6064,1,Incident to arrest
315,6065,1,NULL
316,6066,1,NULL
317,6067,1,NULL
318,6068,1,Officer Safety/safety of others
319,6069,1,NULL
320,6070,1,NULL
321,6071,1,NULL
322,6072,1,NULL
323,6073,1,NULL
324,6074,1,NULL
325,6075,1,NULL
326,6076,1,NULL
327,6077,1,NULL
328,6078,1,NULL
329,6079,1,NULL
330,6080,1,NULL
331,6081,1,NULL
332,6082,1,Officer Safety/safety of others
333,6083,1,NULL
334,6084,1,NULL
335,6085,1,NULL
336,6086,1,Consent given
337,6086,1,Officer Safety/safety of others
338,6087,1,NULL
339,6088,1,NULL
340,6089,1,Officer Safety/safety of others
341,6090,1,NULL
342,6091,1,NULL
343,6092,1,NULL
344,6093,1,NULL
345,6094,1,NULL
346,6095,1,NULL
347,6096,1,NULL
348,6097,1,NULL
349,6098,1,NULL
350,6099,1,NULL
351,6011,1,Officer Safety/safety of others
352,6012,1,NULL
353,6013,1,NULL
354,6014,1,Officer Safety/safety of others
355,6015,1,NULL
356,6016,1,Officer Safety/safety of others
357,6017,1,NULL
358,6018,1,NULL
359,6019,1,NULL
360,6020,1,NULL
361,6021,1,NULL
362,6022,1,NULL
363,6023,1,Incident to arrest
364,6024,1,NULL
365,6025,1,NULL
366,6026,1,NULL
367,6027,1,NULL
368,6028,1,Officer Safety/safety of others
369,6028,1,Suspected weapons
370,6029,1,Incident to arrest
371,6030,1,NULL
372,6031,1,Incident to arrest
373,6031,2,NULL
374,6033,1,NULL
375,6034,1,NULL
376,6035,1,Incident to arrest
377,6036,1,NULL
378,6037,1,Officer Safety/safety of others
379,6038,1,NULL
380,6039,1,NULL
381,6040,1,Officer Safety/safety of others
382,6041,1,NULL
383,6042,1,NULL
384,6043,1,NULL
385,6044,1,Officer Safety/safety of others
386,6045,1,Evidence of crime
387,6045,1,Incident to arrest
388,6046,1,NULL
389,6046,2,NULL
390,6047,1,NULL
391,6048,1,NULL
392,6049,1,NULL
393,6050,1,NULL
394,6050,2,NULL
395,6051,1,NULL
396,6052,1,NULL
397,6053,1,NULL
398,6054,1,NULL
399,6055,1,NULL
400,6055,2,NULL
401,6316,1,Suspected weapons
402,6229,1,NULL
403,6317,1,NULL
404,6229,2,NULL
405,6318,1,NULL
406,6230,1,NULL
407,6319,1,NULL
408,6231,1,NULL
409,6320,1,NULL
410,6232,1,NULL
411,6321,1,Incident to arrest
412,6233,1,NULL
413,6233,2,NULL
414,6234,1,NULL
415,6235,1,NULL
416,6236,1,NULL
417,6237,1,Incident to arrest
418,6237,1,Vehicle inventory
419,6238,1,NULL
420,6239,1,NULL
421,6240,1,NULL
422,6241,1,NULL
423,6242,1,NULL
424,6243,1,NULL
425,6244,1,NULL
426,6244,2,Condition of parole / probation/ PRCS / mandatory supervision
427,6245,1,NULL
428,6246,1,Incident to arrest
429,6247,1,NULL
430,6248,1,NULL
431,6249,1,Evidence of crime
432,6249,1,Incident to arrest
433,6249,1,Odor of contraband
434,6249,1,Officer Safety/safety of others
435,6249,1,Vehicle inventory
436,6250,1,NULL
437,6251,1,NULL
438,6251,2,Consent given
439,6251,2,Officer Safety/safety of others
440,6252,1,NULL
441,6253,1,Condition of parole / probation/ PRCS / mandatory supervision
442,6254,1,NULL
443,6255,1,NULL
444,6256,1,NULL
445,6257,1,NULL
446,6258,1,NULL
447,6259,1,NULL
448,6260,1,Condition of parole / probation/ PRCS / mandatory supervision
449,6261,1,Incident to arrest
450,6261,1,Vehicle inventory
451,6262,1,NULL
452,6263,1,NULL
453,6264,1,NULL
454,6265,1,NULL
455,6267,1,NULL
456,6269,1,NULL
457,6402,1,NULL
458,6145,1,Officer Safety/safety of others
459,6146,1,Officer Safety/safety of others
460,6321,1,Officer Safety/safety of others
461,6147,1,NULL
462,6403,1,NULL
463,6322,1,NULL
464,6270,1,NULL
465,6148,1,Officer Safety/safety of others
466,6404,1,NULL
467,6323,1,NULL
468,6271,1,NULL
469,6149,1,NULL
470,6405,1,NULL
471,6324,1,NULL
472,6272,1,Incident to arrest
473,6186,1,NULL
474,6150,1,NULL
475,6406,1,NULL
476,6325,1,NULL
477,6273,1,NULL
478,6187,1,NULL
479,6151,1,NULL
480,6407,1,Incident to arrest
481,6326,1,NULL
482,6274,1,NULL
483,6188,1,NULL
484,6152,1,NULL
485,6408,1,Incident to arrest
486,6327,1,NULL
487,6275,1,Incident to arrest
488,6189,1,NULL
489,6153,1,NULL
490,6409,1,Consent given
491,6328,1,NULL
492,6276,1,Officer Safety/safety of others
493,6190,1,NULL
494,6154,1,Incident to arrest
495,6410,1,NULL
496,6329,1,NULL
497,6277,1,NULL
498,6191,1,Officer Safety/safety of others
499,6155,1,NULL
500,6411,1,NULL
501,6330,1,NULL
502,6278,1,NULL
503,6192,1,NULL
504,6156,1,NULL
505,6412,1,NULL
506,6331,1,NULL
507,6279,1,Suspected weapons
508,6193,1,NULL
509,6358,1,Officer Safety/safety of others
510,6157,1,Evidence of crime
511,6413,1,NULL
512,6332,1,NULL
513,6279,2,Suspected weapons
514,6194,1,NULL
515,6358,1,Suspected weapons
516,6158,1,NULL
517,6414,1,Evidence of crime
518,6333,1,NULL
519,6280,1,NULL
520,6195,1,NULL
521,6359,1,NULL
522,6159,1,NULL
523,6414,1,Incident to arrest
524,6334,1,NULL
525,6281,1,NULL
526,6196,1,NULL
527,6360,1,NULL
528,6160,1,NULL
529,6414,1,Suspected weapons
530,6334,2,NULL
531,6282,1,Officer Safety/safety of others
532,6197,1,NULL
533,6361,1,Incident to arrest
534,6161,1,NULL
535,6415,1,Officer Safety/safety of others
536,6335,1,Consent given
537,6282,1,Suspected weapons
538,6197,2,NULL
539,6362,1,NULL
540,6162,1,NULL
541,6416,1,NULL
542,6335,1,Officer Safety/safety of others
543,6283,1,NULL
544,6197,3,NULL
545,6362,2,NULL
546,6447,1,NULL
547,6163,1,NULL
548,6417,1,Officer Safety/safety of others
549,6335,1,Suspected weapons
550,6284,1,NULL
551,6198,1,NULL
552,6362,3,NULL
553,6448,1,NULL
554,6449,1,NULL
555,6450,1,NULL
556,6451,1,NULL
557,6451,2,NULL
558,6452,1,NULL
559,6453,1,NULL
560,6454,1,NULL
561,6455,1,Incident to arrest
562,6456,1,NULL
563,6456,2,NULL
564,6457,1,NULL
565,6457,2,NULL
566,6458,1,Incident to arrest
567,6458,2,Officer Safety/safety of others
568,6459,1,NULL
569,6460,1,NULL
570,6461,1,Incident to arrest
571,6461,1,Officer Safety/safety of others
572,6461,1,Suspected weapons
573,6462,1,Consent given
574,6462,1,Officer Safety/safety of others
575,6462,1,Suspected weapons
576,6463,1,NULL
577,6464,1,Officer Safety/safety of others
578,6465,1,NULL
579,6466,1,NULL
580,6467,1,NULL
581,6467,2,NULL
582,6468,1,NULL
583,6468,2,NULL
584,6469,1,NULL
585,6470,1,NULL
586,6471,1,NULL
587,6472,1,Officer Safety/safety of others
588,6473,1,NULL
589,6474,1,NULL
590,6474,2,NULL
591,6475,1,NULL
592,6476,1,Incident to arrest
593,6477,1,NULL
594,6478,1,NULL
595,6479,1,Officer Safety/safety of others
596,6480,1,NULL
597,6481,1,NULL
598,6482,1,NULL
599,6483,1,NULL
600,6484,1,NULL
601,6484,2,NULL
602,6418,1,NULL
603,6164,1,NULL
604,6199,1,NULL
605,6363,1,NULL
606,6165,1,NULL
607,6419,1,Incident to arrest
608,6336,1,NULL
609,6285,1,NULL
610,6200,1,NULL
611,6363,2,NULL
612,6166,1,NULL
613,6419,1,Officer Safety/safety of others
614,6337,1,Condition of parole / probation/ PRCS / mandatory supervision
615,6286,1,NULL
616,6201,1,NULL
617,6364,1,NULL
618,6167,1,NULL
619,6420,1,Incident to arrest
620,6337,1,Incident to arrest
621,6287,1,NULL
622,6202,1,NULL
623,6365,1,Incident to arrest
624,6168,1,NULL
625,6421,1,NULL
626,6337,3,Officer Safety/safety of others
627,6288,1,NULL
628,6203,1,NULL
629,6366,1,Consent given
630,6169,1,NULL
631,6422,1,Officer Safety/safety of others
632,6338,1,NULL
633,6289,1,NULL
634,6203,2,NULL
635,6366,1,Evidence of crime
636,6170,1,NULL
637,6423,1,NULL
638,6339,1,Officer Safety/safety of others
639,6290,1,NULL
640,6204,1,NULL
641,6366,1,Officer Safety/safety of others
642,6171,1,NULL
643,6424,1,Consent given
644,6340,1,NULL
645,6291,1,NULL
646,6205,1,NULL
647,6367,1,NULL
648,6172,1,Consent given
649,6424,1,Officer Safety/safety of others
650,6341,1,NULL
651,6292,1,Officer Safety/safety of others
652,6206,1,Condition of parole / probation/ PRCS / mandatory supervision
653,6368,1,NULL
654,6172,1,Officer Safety/safety of others
655,6425,1,NULL
656,6341,2,NULL
657,6293,1,NULL
658,6206,1,Officer Safety/safety of others
659,6369,1,NULL
660,6172,1,Search Warrant
661,6427,1,NULL
662,6342,1,NULL
663,6293,2,NULL
664,6207,1,NULL
665,6370,1,Officer Safety/safety of others
666,6173,1,NULL
667,6428,1,NULL
668,6344,1,NULL
669,6294,1,NULL
670,6208,1,Condition of parole / probation/ PRCS / mandatory supervision
671,6371,1,NULL
672,6174,1,NULL
673,6429,1,NULL
674,6345,1,Incident to arrest
675,6295,1,NULL
676,6209,1,NULL
677,6372,1,NULL
678,6175,1,Officer Safety/safety of others
679,6430,1,NULL
680,6346,1,NULL
681,6295,2,NULL
682,6210,1,Incident to arrest
683,6373,1,NULL
684,6176,1,NULL
685,6431,1,NULL
686,6347,1,NULL
687,6348,1,NULL
688,6349,1,NULL
689,6350,1,Officer Safety/safety of others
690,6350,1,Vehicle inventory
691,6351,1,NULL
692,6351,2,NULL
693,6352,1,NULL
694,6353,1,NULL
695,6354,1,NULL
696,6355,1,NULL
697,6356,1,NULL
698,6358,1,Consent given
699,6432,1,NULL
700,6177,1,NULL
701,6178,1,Suspected weapons
702,6296,1,NULL
703,6211,1,Condition of parole / probation/ PRCS / mandatory supervision
704,6178,2,Suspected weapons
705,6374,1,NULL
706,6433,1,NULL
707,6297,1,NULL
708,6212,1,NULL
709,6178,3,Suspected weapons
710,6375,1,NULL
711,6434,1,Incident to arrest
712,6300,1,NULL
713,6213,1,NULL
714,6178,4,Suspected weapons
715,6376,1,NULL
716,6435,1,NULL
717,6302,1,NULL
718,6214,1,NULL
719,6178,5,Suspected weapons
720,6377,1,NULL
721,6435,2,NULL
722,6303,1,Incident to arrest
723,6216,1,Incident to arrest
724,6178,6,Suspected weapons
725,6378,1,NULL
726,6436,1,NULL
727,6303,1,Officer Safety/safety of others
728,6216,1,Officer Safety/safety of others
729,6178,7,Suspected weapons
730,6379,1,NULL
731,6437,1,NULL
732,6303,1,Suspected weapons
733,6217,1,NULL
734,6179,1,NULL
735,6380,1,NULL
736,6438,1,NULL
737,6304,1,Search Warrant
738,6218,1,Officer Safety/safety of others
739,6180,1,NULL
740,6381,1,NULL
741,6439,1,NULL
742,6305,1,NULL
743,6219,1,NULL
744,6181,1,NULL
745,6382,1,NULL
746,6440,1,NULL
747,6306,1,NULL
748,6220,1,Consent given
749,6182,1,NULL
750,6383,1,NULL
751,6441,1,NULL
752,6307,1,NULL
753,6220,1,Suspected weapons
754,6182,2,NULL
755,6384,1,Suspected weapons
756,6442,1,NULL
757,6308,1,NULL
758,6221,1,NULL
759,6183,1,NULL
760,6385,1,NULL
761,6443,1,NULL
762,6309,1,NULL
763,6222,1,NULL
764,6184,1,NULL
765,6386,1,NULL
766,6444,1,NULL
767,6310,1,NULL
768,6223,1,NULL
769,6185,1,NULL
770,6387,1,Officer Safety/safety of others
771,6445,1,NULL
772,6311,1,Consent given
773,6224,1,Incident to arrest
774,6388,1,NULL
775,6445,2,NULL
776,6311,1,Officer Safety/safety of others
777,6224,1,Officer Safety/safety of others
778,6389,1,NULL
779,6446,1,NULL
780,6312,1,NULL
781,6225,1,Consent given
782,6390,1,Condition of parole / probation/ PRCS / mandatory supervision
783,6313,1,Incident to arrest
784,6225,1,Vehicle inventory
785,6390,1,Officer Safety/safety of others
786,6314,1,NULL
787,6226,1,Consent given
788,6392,1,Condition of parole / probation/ PRCS / mandatory supervision
789,6315,1,NULL
790,6227,1,NULL
791,6392,2,Condition of parole / probation/ PRCS / mandatory supervision
792,6228,1,NULL
793,6393,1,NULL
794,6394,1,NULL
795,6395,1,NULL
796,6397,1,NULL
797,6398,1,NULL
798,6399,1,NULL
799,6400,1,NULL
800,6401,1,NULL
801,6732,1,NULL
802,6733,1,NULL
803,6733,2,NULL
804,6734,1,Officer Safety/safety of others
805,6735,1,Officer Safety/safety of others
806,6736,1,NULL
807,6737,1,NULL
808,6738,1,NULL
809,6739,1,NULL
810,6740,1,NULL
811,6563,1,Officer Safety/safety of others
812,6741,1,NULL
813,6648,1,NULL
814,6742,1,Incident to arrest
815,6564,1,NULL
816,6743,1,Incident to arrest
817,6649,1,NULL
818,6565,1,NULL
819,6744,1,NULL
820,6747,1,NULL
821,6748,1,NULL
822,6750,1,Condition of parole / probation/ PRCS / mandatory supervision
823,6750,2,Condition of parole / probation/ PRCS / mandatory supervision
824,6750,2,Incident to arrest
825,6750,3,Condition of parole / probation/ PRCS / mandatory supervision
826,6750,3,Incident to arrest
827,6751,1,NULL
828,6751,2,NULL
829,6752,1,Consent given
830,6753,1,NULL
831,6754,1,NULL
832,6755,1,NULL
833,6756,1,NULL
834,6757,1,NULL
835,6758,1,NULL
836,6759,1,NULL
837,6760,1,NULL
838,6761,1,NULL
839,6762,1,NULL
840,6763,1,NULL
841,6764,1,NULL
842,6765,1,NULL
843,6765,2,NULL
844,6766,1,Incident to arrest
845,6767,1,NULL
846,6690,1,Condition of parole / probation/ PRCS / mandatory supervision
847,6768,1,NULL
848,6769,1,NULL
849,6770,1,NULL
850,6771,1,Incident to arrest
851,6771,1,Officer Safety/safety of others
852,6771,1,Vehicle inventory
853,6772,1,NULL
854,6773,1,NULL
855,6774,1,NULL
856,6776,1,NULL
857,6775,1,NULL
858,6649,2,NULL
859,6565,2,NULL
860,6777,1,NULL
861,6691,1,Incident to arrest
862,6649,3,NULL
863,6566,1,NULL
864,6778,1,NULL
865,6691,1,Officer Safety/safety of others
866,6650,1,NULL
867,6566,2,NULL
868,6779,1,NULL
869,6692,1,NULL
870,6651,1,NULL
871,6567,1,NULL
872,6780,1,NULL
873,6693,1,Incident to arrest
874,6652,1,NULL
875,6568,1,NULL
876,6781,1,NULL
877,6694,1,NULL
878,6653,1,NULL
879,6569,1,NULL
880,6782,1,Condition of parole / probation/ PRCS / mandatory supervision
881,6695,1,NULL
882,6654,1,NULL
883,6570,1,NULL
884,6782,1,Consent given
885,6696,1,NULL
886,6655,1,Officer Safety/safety of others
887,6571,1,Officer Safety/safety of others
888,6782,1,Officer Safety/safety of others
889,6696,2,NULL
890,6655,2,Officer Safety/safety of others
891,6572,1,Officer Safety/safety of others
892,6783,1,NULL
893,6697,1,NULL
894,6656,1,Officer Safety/safety of others
895,6573,1,NULL
896,6784,1,NULL
897,6698,1,NULL
898,6526,1,Incident to arrest
899,6657,1,NULL
900,6574,1,Condition of parole / probation/ PRCS / mandatory supervision
901,6485,1,NULL
902,6785,1,NULL
903,6699,1,NULL
904,6527,1,Consent given
905,6658,1,NULL
906,6574,1,Officer Safety/safety of others
907,6486,1,NULL
908,6786,1,NULL
909,6700,1,NULL
910,6527,1,Incident to arrest
911,6660,1,NULL
912,6575,1,Officer Safety/safety of others
913,6486,2,NULL
914,6787,1,NULL
915,6701,1,NULL
916,6527,1,Officer Safety/safety of others
917,6661,1,NULL
918,6576,1,Incident to arrest
919,6487,1,NULL
920,6788,1,NULL
921,6702,1,NULL
922,6606,1,NULL
923,6527,1,Suspected weapons
924,6662,1,NULL
925,6577,1,NULL
926,6488,1,NULL
927,6789,1,NULL
928,6703,1,Condition of parole / probation/ PRCS / mandatory supervision
929,6607,1,NULL
930,6528,1,NULL
931,6663,1,Officer Safety/safety of others
932,6578,1,Incident to arrest
933,6489,1,NULL
934,6790,1,Condition of parole / probation/ PRCS / mandatory supervision
935,6704,1,NULL
936,6608,1,NULL
937,6528,2,Officer Safety/safety of others
938,6664,1,NULL
939,6578,1,Officer Safety/safety of others
940,6490,1,NULL
941,6790,1,Incident to arrest
942,6705,1,NULL
943,6609,1,Officer Safety/safety of others
944,6529,1,NULL
945,6665,1,NULL
946,6579,1,NULL
947,6491,1,NULL
948,6791,1,NULL
949,6706,1,NULL
950,6610,1,NULL
951,6611,1,Condition of parole / probation/ PRCS / mandatory supervision
952,6611,2,Officer Safety/safety of others
953,6611,3,Consent given
954,6611,4,Incident to arrest
955,6612,1,Officer Safety/safety of others
956,6613,1,NULL
957,6615,1,NULL
958,6616,1,NULL
959,6617,1,NULL
960,6618,1,NULL
961,6619,1,Officer Safety/safety of others
962,6620,1,NULL
963,6621,1,NULL
964,6622,1,NULL
965,6623,1,NULL
966,6624,1,NULL
967,6625,1,NULL
968,6626,1,NULL
969,6627,1,NULL
970,6628,1,NULL
971,6628,2,NULL
972,6628,3,NULL
973,6629,1,NULL
974,6629,2,NULL
975,6630,1,NULL
976,6631,1,NULL
977,6631,2,NULL
978,6631,3,NULL
979,6631,4,NULL
980,6632,1,NULL
981,6633,1,NULL
982,6634,1,NULL
983,6635,1,NULL
984,6636,1,NULL
985,6637,1,NULL
986,6638,1,NULL
987,6639,1,NULL
988,6640,1,NULL
989,6641,1,NULL
990,6642,1,NULL
991,6643,1,NULL
992,6644,1,Incident to arrest
993,6644,1,Vehicle inventory
994,6645,1,NULL
995,6647,1,NULL
996,6791,2,NULL
997,6707,1,NULL
998,6666,1,NULL
999,6580,1,NULL
1000,6792,1,NULL
1001,6708,1,NULL
1002,6667,1,NULL
1003,6792,2,NULL
1004,6581,1,NULL
1005,6709,1,Officer Safety/safety of others
1006,6793,1,NULL
1007,6667,2,NULL
1008,6582,1,NULL
1009,6710,1,Incident to arrest
1010,6794,1,NULL
1011,6668,1,NULL
1012,6583,1,NULL
1013,6711,1,Officer Safety/safety of others
1014,6795,1,NULL
1015,6669,1,NULL
1016,6584,1,NULL
1017,6712,1,NULL
1018,6796,1,Incident to arrest
1019,6670,1,NULL
1020,6585,1,NULL
1021,6712,2,NULL
1022,6796,2,NULL
1023,6671,1,NULL
1024,6586,1,Officer Safety/safety of others
1025,6713,1,NULL
1026,6797,1,NULL
1027,6672,1,NULL
1028,6587,1,NULL
1029,6714,1,Vehicle inventory
1030,6798,1,NULL
1031,6673,1,Condition of parole / probation/ PRCS / mandatory supervision
1032,6588,1,NULL
1033,6714,2,NULL
1034,6799,1,Condition of parole / probation/ PRCS / mandatory supervision
1035,6673,1,Consent given
1036,6589,1,NULL
1037,6715,1,NULL
1038,6800,1,Condition of parole / probation/ PRCS / mandatory supervision
1039,6673,1,Incident to arrest
1040,6590,1,NULL
1041,6716,1,NULL
1042,6800,2,Officer Safety/safety of others
1043,6674,1,Consent given
1044,6591,1,NULL
1045,6717,1,NULL
1046,6801,1,NULL
1047,6675,1,Condition of parole / probation/ PRCS / mandatory supervision
1048,6592,1,NULL
1049,6718,1,NULL
1050,6676,1,NULL
1051,6802,1,NULL
1052,6593,1,NULL
1053,6719,1,NULL
1054,6677,1,NULL
1055,6803,1,NULL
1056,6594,1,NULL
1057,6720,1,Officer Safety/safety of others
1058,6678,1,NULL
1059,6804,1,NULL
1060,6594,2,NULL
1061,6721,1,Consent given
1062,6679,1,Officer Safety/safety of others
1063,6805,1,NULL
1064,6594,3,NULL
1065,6721,1,Evidence of crime
1066,6680,1,NULL
1067,6806,1,NULL
1068,6595,1,NULL
1069,6721,1,Officer Safety/safety of others
1070,6681,1,Incident to arrest
1071,6807,1,NULL
1072,6596,1,NULL
