properties.ObjectId,properties.StopID,properties.PID,properties.resultOfStop,properties.resultOfStopcode,properties.resultOfStopcodeText
23,5911,1,Field interview card completed,NULL,NULL
24,5790,1,Warning (verbal or written),53130,415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130
25,6038,1,In-field cite and release,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
26,5791,1,Field interview card completed,NULL,NULL
27,5871,2,No Action,NULL,NULL
28,5911,2,Citation for infraction,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
29,5871,3,No Action,NULL,NULL
30,6039,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
31,5792,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
32,6039,1,Warning (verbal or written),54168,5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168
33,5912,1,Noncriminal transport or caretaking transport,NULL,NULL
34,5872,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
35,5913,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
36,5793,1,No Action,NULL,NULL
37,6040,1,No Action,NULL,NULL
38,5794,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
39,5873,1,No Action,NULL,NULL
40,5914,1,Field interview card completed,NULL,NULL
41,6041,1,Warning (verbal or written),54193,24600 VC - TAILLAMP VIOLATIONS (I) 54193
42,5795,1,No Action,NULL,NULL
43,5874,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
44,5796,1,No Action,NULL,NULL
45,5915,1,Field interview card completed,NULL,NULL
46,6041,1,Field interview card completed,NULL,NULL
47,5875,1,Citation for infraction,54153,21453(D) VC - PED AGAINST RED LIGHT/ETC (I) 54153
48,5797,1,Warning (verbal or written),54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
49,5916,1,Citation for infraction,23115,22435.2(B) BP - POSS SHOP/LAUNDRY CART (M) 23115
50,6042,1,Warning (verbal or written),54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
51,5876,1,No Action,NULL,NULL
52,5798,1,No Action,NULL,NULL
53,6043,1,Warning (verbal or written),54211,5202 VC - LICENSE PLATE DISPLAY VIO (I) 54211
54,5917,1,Citation for infraction,54018,16020(A) VC - NO PROOF:FINANCE RESP:VEH (I) 54018
55,5877,1,No Action,NULL,NULL
56,5799,1,Warning (verbal or written),64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
57,5989,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
58,6044,1,Field interview card completed,NULL,NULL
59,6045,1,Custodial Arrest without warrant,12032,212.5 PC - ROBBERY (F) 12032
60,6046,1,Warning (verbal or written),32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
61,6046,2,Warning (verbal or written),32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
62,6047,1,Warning (verbal or written),54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
63,6048,1,Citation for infraction,54153,21453(D) VC - PED AGAINST RED LIGHT/ETC (I) 54153
64,6049,1,Noncriminal transport or caretaking transport,NULL,NULL
65,6050,1,Warning (verbal or written),23087,484(A) PC - PETTY THEFT (M) 23087
66,6050,2,Warning (verbal or written),23087,484(A) PC - PETTY THEFT (M) 23087
67,6051,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
68,6052,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
69,6053,1,Warning (verbal or written),54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
70,6054,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
71,6054,1,In-field cite and release,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
72,6055,1,No Action,NULL,NULL
73,6055,2,No Action,NULL,NULL
74,6056,1,No Action,NULL,NULL
75,6056,2,No Action,NULL,NULL
76,6057,1,Custodial Arrest without warrant,42074,23153(B) VC - DUI .08 ALCOHOL:BODLY INJ (F) 42074
77,6058,1,In-field cite and release,32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
78,6059,1,In-field cite and release,32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
79,6060,1,Custodial Arrest without warrant,13039,240/242 PC - ASSAULT & BATTERY (M) 13039
80,6061,1,In-field cite and release,32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
81,6061,2,Warning (verbal or written),32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
82,6061,3,Warning (verbal or written),32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
83,6062,1,Warning (verbal or written),54122,21457(A) VC - FAIL STOP:FLASH RED LIGHT (I) 54122
84,6063,1,In-field cite and release,32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
85,6063,2,In-field cite and release,32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
86,6064,1,Custodial Arrest without warrant,42104,23152(A) VC - DUI ALCOHOL (M) 42104
87,6065,1,Warning (verbal or written),54178,21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178
88,6066,1,Citation for infraction,54109,24252(A) VC - FAIL MAINT VEH LITE EQUIP (I) 54109
89,6067,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
90,6068,1,Psychiatric hold,NULL,NULL
91,6069,1,Custodial Arrest without warrant,38081,273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (M) 38081
92,6070,1,Citation for infraction,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
93,6071,1,Warning (verbal or written),54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
94,5918,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
95,5878,1,No Action,NULL,NULL
96,5800,1,Field interview card completed,NULL,NULL
97,5919,1,Citation for infraction,54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
98,5879,1,Citation for infraction,54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
99,5990,1,Field interview card completed,NULL,NULL
100,5801,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
101,5920,1,In-field cite and release,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
102,5879,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
103,5991,1,Field interview card completed,NULL,NULL
104,5802,1,Warning (verbal or written),32100,602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100
105,5804,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
106,5805,1,No Action,NULL,NULL
107,5806,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
108,5807,1,Custodial Arrest without warrant,42088,23152(B) VC - DUI ALCOHOL/0.08 PERCENT (M) 42088
109,5808,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
110,5809,1,No Action,NULL,NULL
111,5810,1,In-field cite and release,66211,640(D)(4) PC - BLOCK MOVEMNT:SYS FAC/VEH (M) 66211
112,5811,1,Custodial Arrest without warrant,52647,18715(A)(3) PC - POSS EXPLO:PRIV HABITATN (F) 52647
113,5812,1,No Action,NULL,NULL
114,5813,1,Custodial Arrest without warrant,42099,23152(B) VC - DUI 0.08 W/PR:PER 23550VC (F) 42099
115,5814,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
116,5815,1,Warning (verbal or written),54556,38314 VC - UNSAFE TURNING MOVEMENT (I) 54556
117,5816,1,Citation for infraction,54178,21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178
118,5817,1,Field interview card completed,NULL,NULL
119,5817,1,Custodial Arrest without warrant,38025,273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025
120,5818,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
121,5819,1,No Action,NULL,NULL
122,5820,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
123,5821,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
124,5822,1,No Action,NULL,NULL
125,5822,2,No Action,NULL,NULL
126,5823,1,Field interview card completed,NULL,NULL
127,5823,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
128,5823,2,Field interview card completed,NULL,NULL
129,5823,2,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
130,5823,3,In-field cite and release,32022,602 PC - TRESPASSING (M) 32022
131,5823,3,Citation for infraction,32022,602 PC - TRESPASSING (M) 32022
132,5824,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
133,5826,1,Citation for infraction,54168,5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168
134,5827,1,In-field cite and release,66208,640(C)(1) PC - FAIL PAY:PUB TRANSIT SYS (I) 66208
135,5828,1,No Action,NULL,NULL
136,6072,1,Citation for infraction,54382,21205 VC - FAIL OPR BIKE W/1 HAND + (I) 54382
137,5992,1,Field interview card completed,NULL,NULL
138,5920,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
139,5879,1,Citation for infraction,54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
140,6073,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
141,5993,1,Field interview card completed,NULL,NULL
142,5920,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
143,5949,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
144,5880,1,No Action,NULL,NULL
145,6074,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
146,5994,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
147,5921,1,In-field cite and release,55281,640(D)(2) PC - EXPLOSIVE/ETC:PUB TRANSIT (M) 55281
148,5950,1,Warning (verbal or written),32071,602.1(A) PC - TRESPASS PUBLIC BUSINESS (M) 32071
149,5881,1,No Action,NULL,NULL
150,6075,1,Citation for infraction,54373,21453(C) VC - FAIL STOP LINE/ETC AT RED (I) 54373
151,5994,2,Citation for infraction,54102,16025(A) VC - NO EVID:ID/INS/ETC:ACCDNT (I) 54102
152,5922,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
153,5882,1,No Action,NULL,NULL
154,5951,1,Warning (verbal or written),64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
155,5923,1,In-field cite and release,41065,647E(A) PC - OPEN ALC BEV POSTED PREM (I) 41065
156,5883,1,No Action,NULL,NULL
157,6076,1,Warning (verbal or written),54528,5201(F) VC - OBSTRUCT OF LIC PLATE (I) 54528
158,5995,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
159,5952,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
160,5884,1,Warning (verbal or written),52644,25200(B) PC - F/A ACCES CHLD:BRNG SCHOL (M) 52644
161,5923,2,In-field cite and release,32111,647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111
162,6077,1,Noncriminal transport or caretaking transport,NULL,NULL
163,5996,1,Citation for infraction,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
164,5953,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
165,5885,1,Warning (verbal or written),54109,24252(A) VC - FAIL MAINT VEH LITE EQUIP (I) 54109
166,5924,1,Warning (verbal or written),54178,21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178
167,6078,1,Field interview card completed,NULL,NULL
168,5997,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
169,5954,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
170,5886,1,No Action,NULL,NULL
171,5925,1,Warning (verbal or written),32071,602.1(A) PC - TRESPASS PUBLIC BUSINESS (M) 32071
172,6079,1,Field interview card completed,NULL,NULL
173,5998,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
174,5955,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
175,5887,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
176,5925,1,Field interview card completed,NULL,NULL
177,6080,1,No Action,NULL,NULL
178,5999,1,Citation for infraction,54015,26708.5 VC - WINDOW INSTAL/ETC MAT VIO (I) 54015
179,5956,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
180,5888,1,No Action,NULL,NULL
181,5926,1,Field interview card completed,NULL,NULL
182,6081,1,No Action,NULL,NULL
183,6000,1,No Action,NULL,NULL
184,5956,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
185,5889,1,Warning (verbal or written),54306,22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306
186,5927,1,No Action,NULL,NULL
187,6082,1,Warning (verbal or written),54088,21650.1 VC - OPR BIKE:RD/ETC:WRONG WAY (I) 54088
188,6001,1,Custodial Arrest without warrant,12032,212.5 PC - ROBBERY (F) 12032
189,5957,1,No Action,NULL,NULL
190,5890,1,No Action,NULL,NULL
191,5928,1,Warning (verbal or written),32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
192,6083,1,Field interview card completed,NULL,NULL
193,6001,1,Custodial Arrest without warrant,12036,212.5(C) PC - ROBBERY:SECOND DEGREE (F) 12036
194,5958,1,Citation for infraction,54221,22507.8(A) VC - PARK IN SPACE FOR DISABLE (I) 54221
195,5891,1,No Action,NULL,NULL
196,5929,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
197,6084,1,Field interview card completed,NULL,NULL
198,6002,1,Citation for infraction,66205,640(B)(3) PC - SMOKING PROHIBITED AREA (I) 66205
199,5959,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
200,5891,2,No Action,NULL,NULL
201,5929,1,Custodial Arrest without warrant,50084,273.6(A) PC - VIO ORD:PREVNT DOMES VIOL (M) 50084
202,6085,1,Field interview card completed,NULL,NULL
203,5891,3,No Action,NULL,NULL
204,6003,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
205,5892,1,No Action,NULL,NULL
206,5960,1,No Action,NULL,NULL
207,5829,1,Citation for infraction,66203,640(B)(1) PC - EAT/DRINK PUB TRANSIT SYS (I) 66203
208,6086,1,Psychiatric hold,NULL,NULL
209,5930,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
210,5830,1,Citation for infraction,54088,21650.1 VC - OPR BIKE:RD/ETC:WRONG WAY (I) 54088
211,5893,1,Field interview card completed,NULL,NULL
212,6087,1,Warning (verbal or written),54360,21663 VC - DRIVE ON SIDEWALK VIOL (I) 54360
213,6004,1,Warning (verbal or written),66208,640(C)(1) PC - FAIL PAY:PUB TRANSIT SYS (I) 66208
214,5961,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
215,5931,1,Field interview card completed,NULL,NULL
216,5831,1,Warning (verbal or written),54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
217,5894,1,In-field cite and release,54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
218,6088,1,Field interview card completed,NULL,NULL
219,6005,1,Citation for infraction,54015,26708.5 VC - WINDOW INSTAL/ETC MAT VIO (I) 54015
220,5962,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
221,5932,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
222,5832,1,No Action,NULL,NULL
223,5894,1,Citation for infraction,54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
224,6089,1,Noncriminal transport or caretaking transport,NULL,NULL
225,6006,1,Warning (verbal or written),54191,24250 VC - DRIVE WITHOUT LIGHTS:DARK (I) 54191
226,5963,1,In-field cite and release,32022,602 PC - TRESPASSING (M) 32022
227,5933,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
228,5833,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
229,5895,1,Citation for infraction,54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
230,6090,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
231,6007,1,Contacted parent/legal guardian or other person responsible for the minor,NULL,NULL
232,5963,1,Citation for infraction,32022,602 PC - TRESPASSING (M) 32022
233,5934,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
234,5833,1,Warning (verbal or written),54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
235,5896,1,Warning (verbal or written),54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
236,6091,1,Citation for infraction,54184,21956 VC - PED NOT ON LEFT EDGE ROAD (I) 54184
237,6007,1,Field interview card completed,NULL,NULL
238,5964,1,Psychiatric hold,NULL,NULL
239,5935,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
240,5834,1,Citation for infraction,54112,21461.5 VC - PED FAIL OBEY TRAFIC SIGN (I) 54112
241,5897,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
242,6092,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
243,6008,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
244,5965,1,No Action,NULL,NULL
245,5936,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
246,5834,2,Citation for infraction,54112,21461.5 VC - PED FAIL OBEY TRAFIC SIGN (I) 54112
247,5898,1,Warning (verbal or written),54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
248,6093,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
249,6009,1,Field interview card completed,NULL,NULL
250,5966,1,In-field cite and release,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
251,5937,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
252,5834,3,Citation for infraction,54112,21461.5 VC - PED FAIL OBEY TRAFIC SIGN (I) 54112
253,5835,1,No Action,NULL,NULL
254,5836,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
255,5836,2,In-field cite and release,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
256,5836,3,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
257,5837,1,No Action,NULL,NULL
258,5838,1,In-field cite and release,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
259,5839,1,Citation for infraction,54445,21651(A) VC - DIV HWY:CROSS/U TURN VIOL (I) 54445
260,5840,1,No Action,NULL,NULL
261,5841,1,No Action,NULL,NULL
262,5841,2,No Action,NULL,NULL
263,5842,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
264,5843,1,Warning (verbal or written),66206,640(B)(4) PC - SPIT ON PUBLIC TRANS SYS (I) 66206
265,5843,1,Field interview card completed,NULL,NULL
266,5844,1,No Action,NULL,NULL
267,5845,1,Citation for infraction,40007,266E PC - PAY FOR PROSTITUTION/ETC (F) 40007
268,5845,2,No Action,NULL,NULL
269,5846,1,No Action,NULL,NULL
270,5847,1,Noncriminal transport or caretaking transport,NULL,NULL
271,5847,1,Psychiatric hold,NULL,NULL
272,5848,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
273,5849,1,Noncriminal transport or caretaking transport,NULL,NULL
274,5850,1,No Action,NULL,NULL
275,5851,1,Psychiatric hold,NULL,NULL
276,5852,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
277,5852,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
278,5853,1,No Action,NULL,NULL
279,5854,1,Warning (verbal or written),54171,25950 VC - VEH LAMPS/ETC COLOR VIOL (I) 54171
280,5855,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
281,5856,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
282,5857,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
283,5858,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
284,5858,1,Field interview card completed,NULL,NULL
285,5859,1,No Action,NULL,NULL
286,5860,1,No Action,NULL,NULL
287,5861,1,In-field cite and release,55103,374.4 PC - LITTER PUB/PRIVATE PROP (I) 55103
288,5861,1,Citation for infraction,55103,374.4 PC - LITTER PUB/PRIVATE PROP (I) 55103
289,5862,1,Field interview card completed,NULL,NULL
290,5863,1,No Action,NULL,NULL
291,5864,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
292,5865,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
293,5866,1,Citation for infraction,65002,65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002
294,6010,1,Citation for infraction,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
295,5938,1,In-field cite and release,66208,640(C)(1) PC - FAIL PAY:PUB TRANSIT SYS (I) 66208
296,5899,1,No Action,NULL,NULL
297,6010,1,In-field cite and release,54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
298,6093,1,In-field cite and release,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
299,5938,1,In-field cite and release,48051,31 VC - GIVE FALSE INFO TO PO (M) 48051
300,5967,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
301,5899,2,No Action,NULL,NULL
302,6011,1,In-field cite and release,54153,21453(D) VC - PED AGAINST RED LIGHT/ETC (I) 54153
303,6093,1,In-field cite and release,52645,25200(A) PC - F/A ACCES BY CHLD:PREMISE (M) 52645
304,5939,1,No Action,NULL,NULL
305,5940,1,No Action,NULL,NULL
306,5941,1,No Action,NULL,NULL
307,5942,1,No Action,NULL,NULL
308,5943,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
309,5944,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
310,5945,1,Warning (verbal or written),54303,22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303
311,5946,1,Warning (verbal or written),54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
312,5947,1,Warning (verbal or written),54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
313,5948,1,Warning (verbal or written),54075,21651(B) VC - DRIVE WRONG WAY:DIV HWY (M) 54075
314,6094,1,No Action,NULL,NULL
315,5968,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
316,6095,1,Warning (verbal or written),54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
317,6012,1,No Action,NULL,NULL
318,5969,1,Psychiatric hold,NULL,NULL
319,6096,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
320,6013,1,In-field cite and release,66210,640(D)(3) PC - URINATE/ETC:PUB TRANSIT (M) 66210
321,5970,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
322,6097,1,No Action,NULL,NULL
323,6014,1,In-field cite and release,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
324,5971,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
325,6098,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
326,6015,1,No Action,NULL,NULL
327,5972,1,Citation for infraction,54088,21650.1 VC - OPR BIKE:RD/ETC:WRONG WAY (I) 54088
328,6099,1,No Action,NULL,NULL
329,5972,1,In-field cite and release,62140,1052(A) FG - UNLAWFUL TRANSFER LIC/TAG (M) 62140
330,6016,1,No Action,NULL,NULL
331,6100,1,In-field cite and release,54145,21955 VC - JAYWALKING (I) 54145
332,5972,1,Field interview card completed,NULL,NULL
333,6017,1,No Action,NULL,NULL
334,6100,1,Citation for infraction,54145,21955 VC - JAYWALKING (I) 54145
335,5972,1,In-field cite and release,54088,21650.1 VC - OPR BIKE:RD/ETC:WRONG WAY (I) 54088
336,6018,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
337,6101,1,Psychiatric hold,NULL,NULL
338,5973,1,No Action,NULL,NULL
339,6018,1,In-field cite and release,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
340,6102,1,Noncriminal transport or caretaking transport,NULL,NULL
341,5974,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
